format,board,vec_total,vset,realvec,compute_approx,ldst_approx,verdict,real_ops
iq3_xxs_grid,rvv,147,33,114,80,34,control,vand.vv|vfcvt.f.x.v|vfmul.vf|vle16.v|vle8.v|vluxei16.v|vluxei8.v|vmsne.vi|vrsub.vi|vse16.v|vse32.v|vsext.vf4|vsll.vi|vzext.vf2
iq3_xxs,rvv,250,41,209,160,49,control,vand.vv|vfcvt.f.x.v|vfmul.vf|vle32.v|vle8.v|vlse8.v|vluxei16.v|vmsne.vi|vmv1r.v|vrsub.vi|vse32.v|vsext.vf4|vslide1down.vx|vsll.vi|vsseg8e8.v|vzext.vf2
iq4_nl,rvv,19,5,14,9,5,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vrgather.vv|vse32.v|vsext.vf4|vsrl.vi
iq4_xs,rvv,138,33,105,72,33,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vrgather.vv|vse32.v|vsext.vf4|vsrl.vi
mxfp4,rvv,19,5,14,9,5,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vrgather.vv|vse32.v|vsext.vf4|vsrl.vi
nvfp4,rvv,75,17,58,40,18,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vl1r.v|vle8.v|vrgather.vv|vs1r.v|vse32.v|vsext.vf4|vsrl.vi
q2_K,rvv,160,32,128,80,48,control,vand.vi|vfcvt.f.x.v|vfmsac.vf|vfmv.v.f|vle8.v|vse32.v|vsrl.vi|vzext.vf4
q3_K,rvv,256,32,224,144,80,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vrsub.vi|vse32.v|vsll.vi|vsrl.vi|vsub.vv|vzext.vf4
q4_0,rvv,17,4,13,9,4,control,vadd.vi|vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vse32.v|vsrl.vi|vzext.vf4
q4_1,rvv,16,4,12,8,4,control,vand.vi|vfcvt.f.x.v|vfmadd.vf|vfmv.v.f|vle8.v|vse32.v|vsrl.vi|vzext.vf4
q4_K,rvv,76,24,52,36,16,control,vand.vi|vfmsac.vf|vfmv.v.f|vfwcvt.f.xu.v|vle8.v|vse32.v|vsrl.vi|vzext.vf2
q5_0,rvv,29,5,24,18,6,control,vadd.vi|vadd.vx|vand.vi|vfcvt.f.x.v|vfmul.vf|vid.v|vle8.v|vmv.v.x|vor.vv|vse32.v|vsll.vi|vsrl.vi|vsrl.vv|vzext.vf4
q5_1,rvv,28,5,23,17,6,control,vadd.vx|vand.vi|vfcvt.f.x.v|vfmadd.vf|vfmv.v.f|vid.v|vle8.v|vmv.v.x|vor.vv|vse32.v|vsll.vi|vsrl.vi|vsrl.vv|vzext.vf4
q5_K,rvv,109,24,85,60,25,control,vand.vi|vfmsac.vf|vfmv.v.f|vfwcvt.f.xu.v|vle8.v|vor.vv|vse32.v|vsll.vi|vsrl.vi|vzext.vf2
q6_K,rvv,224,32,192,120,72,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vor.vv|vse32.v|vsll.vi|vsrl.vi|vsub.vx|vzext.vf4
q8_0,rvv,6,1,5,3,2,control,vfcvt.f.x.v|vfmul.vf|vle8.v|vse32.v|vsext.vf4
tq1_0,rvv,247,57,190,133,57,control,vadd.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vmul.vx|vse32.v|vsext.vf2|vsrl.vi|vzext.vf2
tq2_0,rvv,156,32,124,80,44,control,vadd.vi|vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vse32.v|vsext.vf4|vsrl.vi
iq3_xxs_grid,k1,147,33,114,80,34,control,vand.vv|vfcvt.f.x.v|vfmul.vf|vle16.v|vle8.v|vluxei16.v|vluxei8.v|vmsne.vi|vrsub.vi|vse16.v|vse32.v|vsext.vf4|vsll.vi|vzext.vf2
iq3_xxs,k1,250,41,209,160,49,control,vand.vv|vfcvt.f.x.v|vfmul.vf|vle32.v|vle8.v|vlse8.v|vluxei16.v|vmsne.vi|vmv1r.v|vrsub.vi|vse32.v|vsext.vf4|vslide1down.vx|vsll.vi|vsseg8e8.v|vzext.vf2
iq4_nl,k1,19,5,14,9,5,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vrgather.vv|vse32.v|vsext.vf4|vsrl.vi
iq4_xs,k1,138,33,105,72,33,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vrgather.vv|vse32.v|vsext.vf4|vsrl.vi
mxfp4,k1,19,5,14,9,5,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vrgather.vv|vse32.v|vsext.vf4|vsrl.vi
nvfp4,k1,75,17,58,40,18,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vl1r.v|vle8.v|vrgather.vv|vs1r.v|vse32.v|vsext.vf4|vsrl.vi
q2_K,k1,160,32,128,80,48,control,vand.vi|vfcvt.f.x.v|vfmsac.vf|vfmv.v.f|vle8.v|vse32.v|vsrl.vi|vzext.vf4
q3_K,k1,256,32,224,144,80,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vrsub.vi|vse32.v|vsll.vi|vsrl.vi|vsub.vv|vzext.vf4
q4_0,k1,17,4,13,9,4,control,vadd.vi|vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vse32.v|vsrl.vi|vzext.vf4
q4_1,k1,16,4,12,8,4,control,vand.vi|vfcvt.f.x.v|vfmadd.vf|vfmv.v.f|vle8.v|vse32.v|vsrl.vi|vzext.vf4
q4_K,k1,76,24,52,36,16,control,vand.vi|vfmsac.vf|vfmv.v.f|vfwcvt.f.xu.v|vle8.v|vse32.v|vsrl.vi|vzext.vf2
q5_0,k1,29,5,24,18,6,control,vadd.vi|vadd.vx|vand.vi|vfcvt.f.x.v|vfmul.vf|vid.v|vle8.v|vmv.v.x|vor.vv|vse32.v|vsll.vi|vsrl.vi|vsrl.vv|vzext.vf4
q5_1,k1,28,5,23,17,6,control,vadd.vx|vand.vi|vfcvt.f.x.v|vfmadd.vf|vfmv.v.f|vid.v|vle8.v|vmv.v.x|vor.vv|vse32.v|vsll.vi|vsrl.vi|vsrl.vv|vzext.vf4
q5_K,k1,109,24,85,60,25,control,vand.vi|vfmsac.vf|vfmv.v.f|vfwcvt.f.xu.v|vle8.v|vor.vv|vse32.v|vsll.vi|vsrl.vi|vzext.vf2
q6_K,k1,224,32,192,120,72,control,vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vor.vv|vse32.v|vsll.vi|vsrl.vi|vsub.vx|vzext.vf4
q8_0,k1,6,1,5,3,2,control,vfcvt.f.x.v|vfmul.vf|vle8.v|vse32.v|vsext.vf4
tq1_0,k1,247,57,190,133,57,control,vadd.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vmul.vx|vse32.v|vsext.vf2|vsrl.vi|vzext.vf2
tq2_0,k1,156,32,124,80,44,control,vadd.vi|vand.vi|vfcvt.f.x.v|vfmul.vf|vle8.v|vse32.v|vsext.vf4|vsrl.vi
