CONFIG nvar=15 counts=257,256,1024,4096,16384,65536 warmups=3 repeats=11 iters=16 timing=rdcycle+clock_gettime
CORRECTNESS n=257 ok oracle=12.9000006
SUMMARY variant=genuine-scalar n=257 best_ns=2411.250 best_cyc=4288
SUMMARY variant=naive-mf4-anchor n=257 best_ns=635.000 best_cyc=1135
SUMMARY variant=L=mf4_A=1 n=257 best_ns=651.250 best_cyc=1163
SUMMARY variant=L=mf4_A=2 n=257 best_ns=690.000 best_cyc=1233
SUMMARY variant=L=mf4_A=4 n=257 best_ns=686.250 best_cyc=1226
SUMMARY variant=L=mf4_A=8 n=257 best_ns=827.500 best_cyc=1478
SUMMARY variant=L=mf2_A=1 n=257 best_ns=427.500 best_cyc=767
SUMMARY variant=L=mf2_A=2 n=257 best_ns=408.750 best_cyc=734
SUMMARY variant=L=mf2_A=4 n=257 best_ns=451.250 best_cyc=809
SUMMARY variant=L=mf2_A=8 n=257 best_ns=595.000 best_cyc=1065
SUMMARY variant=L=m1_A=1 n=257 best_ns=206.250 best_cyc=376
SUMMARY variant=L=m1_A=2 n=257 best_ns=228.750 best_cyc=415
SUMMARY variant=L=m1_A=4 n=257 best_ns=276.250 best_cyc=501
SUMMARY variant=L=m2_A=1 n=257 best_ns=191.250 best_cyc=349
SUMMARY variant=L=m2_A=2 n=257 best_ns=231.250 best_cyc=419
CORRECTNESS n=256 ok oracle=12.8874998
SUMMARY variant=genuine-scalar n=256 best_ns=2401.250 best_cyc=4271
SUMMARY variant=naive-mf4-anchor n=256 best_ns=586.250 best_cyc=1049
SUMMARY variant=L=mf4_A=1 n=256 best_ns=570.000 best_cyc=1021
SUMMARY variant=L=mf4_A=2 n=256 best_ns=577.500 best_cyc=1035
SUMMARY variant=L=mf4_A=4 n=256 best_ns=572.500 best_cyc=1025
SUMMARY variant=L=mf4_A=8 n=256 best_ns=578.750 best_cyc=1037
SUMMARY variant=L=mf2_A=1 n=256 best_ns=368.750 best_cyc=664
SUMMARY variant=L=mf2_A=2 n=256 best_ns=335.000 best_cyc=604
SUMMARY variant=L=mf2_A=4 n=256 best_ns=341.250 best_cyc=615
SUMMARY variant=L=mf2_A=8 n=256 best_ns=353.750 best_cyc=637
SUMMARY variant=L=m1_A=1 n=256 best_ns=162.500 best_cyc=298
SUMMARY variant=L=m1_A=2 n=256 best_ns=168.750 best_cyc=307
SUMMARY variant=L=m1_A=4 n=256 best_ns=170.000 best_cyc=311
SUMMARY variant=L=m2_A=1 n=256 best_ns=147.500 best_cyc=271
SUMMARY variant=L=m2_A=2 n=256 best_ns=150.000 best_cyc=276
CORRECTNESS n=1024 ok oracle=54.4500008
SUMMARY variant=genuine-scalar n=1024 best_ns=9540.000 best_cyc=16942
SUMMARY variant=naive-mf4-anchor n=1024 best_ns=2242.500 best_cyc=3989
SUMMARY variant=L=mf4_A=1 n=1024 best_ns=2192.500 best_cyc=3901
SUMMARY variant=L=mf4_A=2 n=1024 best_ns=2218.750 best_cyc=3947
SUMMARY variant=L=mf4_A=4 n=1024 best_ns=2220.000 best_cyc=3950
SUMMARY variant=L=mf4_A=8 n=1024 best_ns=2231.250 best_cyc=3970
SUMMARY variant=L=mf2_A=1 n=1024 best_ns=1406.250 best_cyc=2504
SUMMARY variant=L=mf2_A=2 n=1024 best_ns=1277.500 best_cyc=2276
SUMMARY variant=L=mf2_A=4 n=1024 best_ns=1301.250 best_cyc=2319
SUMMARY variant=L=mf2_A=8 n=1024 best_ns=1306.250 best_cyc=2328
SUMMARY variant=L=m1_A=1 n=1024 best_ns=596.250 best_cyc=1067
SUMMARY variant=L=m1_A=2 n=1024 best_ns=596.250 best_cyc=1067
SUMMARY variant=L=m1_A=4 n=1024 best_ns=592.500 best_cyc=1059
SUMMARY variant=L=m2_A=1 n=1024 best_ns=520.000 best_cyc=931
SUMMARY variant=L=m2_A=2 n=1024 best_ns=515.000 best_cyc=922
CORRECTNESS n=4096 ok oracle=220.887497
SUMMARY variant=genuine-scalar n=4096 best_ns=38096.250 best_cyc=67630
SUMMARY variant=naive-mf4-anchor n=4096 best_ns=8877.500 best_cyc=15766
SUMMARY variant=L=mf4_A=1 n=4096 best_ns=8683.750 best_cyc=15422
SUMMARY variant=L=mf4_A=2 n=4096 best_ns=8781.250 best_cyc=15595
SUMMARY variant=L=mf4_A=4 n=4096 best_ns=8782.500 best_cyc=15598
SUMMARY variant=L=mf4_A=8 n=4096 best_ns=8793.750 best_cyc=15617
SUMMARY variant=L=mf2_A=1 n=4096 best_ns=5551.250 best_cyc=9863
SUMMARY variant=L=mf2_A=2 n=4096 best_ns=5028.750 best_cyc=8935
SUMMARY variant=L=mf2_A=4 n=4096 best_ns=5087.500 best_cyc=9040
SUMMARY variant=L=mf2_A=8 n=4096 best_ns=5122.500 best_cyc=9101
SUMMARY variant=L=m1_A=1 n=4096 best_ns=2288.750 best_cyc=4072
SUMMARY variant=L=m1_A=2 n=4096 best_ns=2291.250 best_cyc=4074
SUMMARY variant=L=m1_A=4 n=4096 best_ns=2286.250 best_cyc=4067
SUMMARY variant=L=m2_A=1 n=4096 best_ns=1980.000 best_cyc=3523
SUMMARY variant=L=m2_A=2 n=4096 best_ns=1971.250 best_cyc=3508
CORRECTNESS n=16384 ok oracle=886.450012
SUMMARY variant=genuine-scalar n=16384 best_ns=152375.000 best_cyc=270474
SUMMARY variant=naive-mf4-anchor n=16384 best_ns=35515.000 best_cyc=63047
SUMMARY variant=L=mf4_A=1 n=16384 best_ns=34736.250 best_cyc=61664
SUMMARY variant=L=mf4_A=2 n=16384 best_ns=35096.250 best_cyc=62304
SUMMARY variant=L=mf4_A=4 n=16384 best_ns=35082.500 best_cyc=62281
SUMMARY variant=L=mf4_A=8 n=16384 best_ns=35086.250 best_cyc=62288
SUMMARY variant=L=mf2_A=1 n=16384 best_ns=22166.250 best_cyc=39353
SUMMARY variant=L=mf2_A=2 n=16384 best_ns=20071.250 best_cyc=35633
SUMMARY variant=L=mf2_A=4 n=16384 best_ns=20257.500 best_cyc=35965
SUMMARY variant=L=mf2_A=8 n=16384 best_ns=20357.500 best_cyc=36144
SUMMARY variant=L=m1_A=1 n=16384 best_ns=9127.500 best_cyc=16208
SUMMARY variant=L=m1_A=2 n=16384 best_ns=9135.000 best_cyc=16224
SUMMARY variant=L=m1_A=4 n=16384 best_ns=9085.000 best_cyc=16133
SUMMARY variant=L=m2_A=1 n=16384 best_ns=7875.000 best_cyc=13987
SUMMARY variant=L=m2_A=2 n=16384 best_ns=7827.500 best_cyc=13902
CORRECTNESS n=65536 ok oracle=3548.88745
SUMMARY variant=genuine-scalar n=65536 best_ns=612477.500 best_cyc=1087161
SUMMARY variant=naive-mf4-anchor n=65536 best_ns=142287.500 best_cyc=252571
SUMMARY variant=L=mf4_A=1 n=65536 best_ns=139050.000 best_cyc=246827
SUMMARY variant=L=mf4_A=2 n=65536 best_ns=140396.250 best_cyc=249217
SUMMARY variant=L=mf4_A=4 n=65536 best_ns=140122.500 best_cyc=248730
SUMMARY variant=L=mf4_A=8 n=65536 best_ns=141106.250 best_cyc=250480
SUMMARY variant=L=mf2_A=1 n=65536 best_ns=89116.250 best_cyc=158194
SUMMARY variant=L=mf2_A=2 n=65536 best_ns=80685.000 best_cyc=143228
SUMMARY variant=L=mf2_A=4 n=65536 best_ns=81367.500 best_cyc=144441
SUMMARY variant=L=mf2_A=8 n=65536 best_ns=81633.750 best_cyc=144911
SUMMARY variant=L=m1_A=1 n=65536 best_ns=37230.000 best_cyc=66096
SUMMARY variant=L=m1_A=2 n=65536 best_ns=37021.250 best_cyc=65725
SUMMARY variant=L=m1_A=4 n=65536 best_ns=36647.500 best_cyc=65063
SUMMARY variant=L=m2_A=1 n=65536 best_ns=32328.750 best_cyc=57397
SUMMARY variant=L=m2_A=2 n=65536 best_ns=56912.500 best_cyc=101033
PASS accumulator-sweep counts=257,256,1024,4096,16384,65536 sink=12717401.7
