CONFIG nvar=15 counts=257,256,1024,4096,16384,65536 warmups=3 repeats=11 iters=16 timing=rdcycle+clock_gettime
CORRECTNESS n=257 ok oracle=-204.8125
SUMMARY variant=genuine-scalar n=257 best_ns=443.750 best_cyc=819
SUMMARY variant=naive-mf4-anchor n=257 best_ns=341.250 best_cyc=630
SUMMARY variant=L=mf4_A=1 n=257 best_ns=366.250 best_cyc=677
SUMMARY variant=L=mf4_A=2 n=257 best_ns=448.750 best_cyc=828
SUMMARY variant=L=mf4_A=4 n=257 best_ns=457.500 best_cyc=843
SUMMARY variant=L=mf4_A=8 n=257 best_ns=541.250 best_cyc=998
SUMMARY variant=L=mf2_A=1 n=257 best_ns=221.250 best_cyc=412
SUMMARY variant=L=mf2_A=2 n=257 best_ns=235.000 best_cyc=438
SUMMARY variant=L=mf2_A=4 n=257 best_ns=283.750 best_cyc=527
SUMMARY variant=L=mf2_A=8 n=257 best_ns=412.500 best_cyc=761
SUMMARY variant=L=m1_A=1 n=257 best_ns=118.750 best_cyc=224
SUMMARY variant=L=m1_A=2 n=257 best_ns=140.000 best_cyc=265
SUMMARY variant=L=m1_A=4 n=257 best_ns=181.250 best_cyc=339
SUMMARY variant=L=m2_A=1 n=257 best_ns=95.000 best_cyc=181
SUMMARY variant=L=m2_A=2 n=257 best_ns=138.750 best_cyc=262
CORRECTNESS n=256 ok oracle=-176.550003
SUMMARY variant=genuine-scalar n=256 best_ns=441.250 best_cyc=814
SUMMARY variant=naive-mf4-anchor n=256 best_ns=240.000 best_cyc=447
SUMMARY variant=L=mf4_A=1 n=256 best_ns=297.500 best_cyc=553
SUMMARY variant=L=mf4_A=2 n=256 best_ns=298.750 best_cyc=554
SUMMARY variant=L=mf4_A=4 n=256 best_ns=288.750 best_cyc=535
SUMMARY variant=L=mf4_A=8 n=256 best_ns=293.750 best_cyc=546
SUMMARY variant=L=mf2_A=1 n=256 best_ns=165.000 best_cyc=310
SUMMARY variant=L=mf2_A=2 n=256 best_ns=156.250 best_cyc=294
